ds,y,syl
2019.4.20,5277.04,0.006109486
2019.4.21,5309.28,-0.005170193
2019.4.22,5281.83,0.018054349
2019.4.23,5377.19,0.026216295
2019.4.24,5518.16,-0.015217029
2019.4.25,5434.19,-0.043903507
2019.4.26,5195.61,0.018711951
2019.4.27,5292.83,-0.002388136
2019.4.28,5280.19,0.003996068
2019.4.29,5301.29,-0.007666059
2019.4.30,5260.65,0.001737428
2019.5.1,5269.79,0.010793599
2019.5.2,5326.67,0.011919267
2019.5.3,5390.16,0.049530997
2019.5.4,5657.14,0.020140919
2019.5.5,5771.08,-0.0092565
2019.5.6,5717.66,-0.005804822
2019.5.7,5684.47,0.01253415
2019.5.8,5755.72,0.031446978
2019.5.9,5936.72,0.035405072
2019.5.10,6146.91,0.032717251
2019.5.11,6348.02,0.141822174
2019.5.12,7248.31,-0.037205914
2019.5.13,6978.63,0.121009424
2019.5.14,7823.11,0.021676801
2019.5.15,7992.69,0.026800739
2019.5.16,8206.9,-0.039106118
2019.5.17,7885.96,-0.066414235
2019.5.18,7362.22,-0.013198465
2019.5.19,7265.05,0.12782431
2019.5.20,8193.7,-0.022782137
2019.5.21,8007.03,-0.006810265
2019.5.22,7952.5,-0.041065074
2019.5.23,7625.93,0.03335462
2019.5.24,7880.29,0.015604756
2019.5.25,8003.26,0.008520278
2019.5.26,8071.45,0.083376593
2019.5.27,8744.42,0.002932156
2019.5.28,8770.06,-0.00572174
2019.5.29,8719.88,-0.006525319
2019.5.30,8662.98,-0.045079176
2019.5.31,8272.46,0.034010439
2019.6.1,8553.81,0.000115738
2019.6.2,8554.8,0.021535278
2019.6.3,8739.03,-0.069127809
2019.6.4,8134.92,-0.05643817
2019.6.5,7675.8,0.014362021
2019.6.6,7786.04,0.002207798
2019.6.7,7803.23,0.024997341
2019.6.8,7998.29,-0.008370539
2019.6.9,7931.34,-0.036655849
2019.6.10,7640.61,0.049704147
2019.6.11,8020.38,-0.012817348
2019.6.12,7917.58,0.032267435
2019.6.13,8173.06,0.007930934
2019.6.14,8237.88,0.055320058
2019.6.15,8693.6,0.019079553
2019.6.16,8859.47,0.013490649
2019.6.17,8978.99,0.038811715
2019.6.18,9327.48,-0.026941896
2019.6.19,9076.18,0.022643888
2019.6.20,9281.7,0.026897012
2019.6.21,9531.35,0.071136827
2019.6.22,10209.38,0.044983143
2019.6.23,10668.63,0.013670921
2019.6.24,10814.48,0.018772978
2019.6.25,11017.5,0.067973678
2019.6.26,11766.4,0.099108478
2019.6.27,12932.55,-0.13916049
2019.6.28,11132.85,0.111516817
2019.6.29,12374.35,-0.039110741
2019.6.30,11890.38,-0.096939711
2019.7.1,10737.73,-0.01480853
2019.7.2,10578.72,0.021427923
2019.7.3,10805.4,0.109145427
2019.7.4,11984.76,-0.068776513
2019.7.5,11160.49,-0.018397938
2019.7.6,10955.16,0.025273935
2019.7.7,11232.04,0.021809929
2019.7.8,11477.01,0.072847371
2019.7.9,12313.08,0.022228395
2019.7.10,12586.78,-0.038681855
2019.7.11,12099.9,-0.061738527
2019.7.12,11352.87,0.039734446
2019.7.13,11803.97,-0.03514665
2019.7.14,11389.1,-0.1055518
