	gold	Bitcon
154	1225.270806	3136.614623
155	1225.270806	3303.85743
156	1227.354612	3518.201089
157	1228.181293	3661.682623
158	1228.740559	3854.116739
159	1228.951959	3978.570779
160	1229.357305	4200.998161
161	1229.357305	4310.490602
162	1229.357305	4371.274858
163	1229.201248	4464.884535
164	1229.095024	4476.110372
165	1228.647529	4527.730783
166	1227.792661	4505.912956
167	1227.088169	4579.769846
168	1227.088169	4541.535339
169	1227.088169	4458.485288
170	1223.519239	4415.036901
171	1222.311264	4298.631731
172	1220.812863	4234.40571
173	1218.977643	4110.538033
174	1217.382557	4097.765483
175	1217.382557	3989.52547
176	1217.382557	3892.385563
177	1211.857784	3852.545608
178	1209.860086	3757.311353
179	1207.738536	3731.249245
180	1205.456126	3661.560444
181	1203.596613	3717.630501
182	1203.596613	3691.216903
183	1203.596613	3648.401566
184	1198.400809	3671.739709
185	1197.308908	3646.208744
186	1196.26634	3693.958691
187	1195.225196	3699.753553
188	1194.755494	3830.587609
189	1194.755494	3875.937043
190	1194.755494	3899.7723
191	1194.444582	3982.761012
192	1195.14987	4008.263757
193	1195.949773	4097.122972
194	1196.771056	4133.133512
195	1198.157774	4282.678155
196	1198.157774	4334.988064
197	1198.157774	4354.153507
198	1203.120333	4421.314858
199	1205.401444	4420.636617
200	1207.647639	4474.0655
201	1209.765373	4466.762067
202	1212.280812	4566.690383
203	1212.280812	4564.82709
204	1212.280812	4527.116696
205	1219.487455	4536.604718
206	1222.10686	4479.353056
207	1224.480677	4479.140331
208	1226.517295	4422.838251
209	1228.748426	4479.950055
210	1228.748426	4442.773792
211	1228.748426	4378.318523
212	1233.990122	4370.40608
213	1235.635346	4305.563614
214	1236.907987	4307.710224
215	1237.739345	4263.52905
216	1237.739345	4342.01093
217	1237.739345	4334.63217
218	1237.739345	4307.294039
219	1237.739345	4342.455924
220	1240.159156	4325.06645
221	1240.14057	4377.294737
222	1239.755178	4383.951904
223	1239.581378	4512.087532
224	1239.581378	4551.222152
225	1239.581378	4565.341857
226	1238.156436	4635.085462
227	1237.897822	4643.727035
228	1237.484525	4711.9546
229	1236.87622	4723.333846
230	1236.652237	4843.940441
231	1236.652237	4862.621096
232	1236.652237	4843.008737
233	1236.652237	4865.721733
234	1236.395236	4823.69782
235	1236.693141	4828.922981
236	1236.907554	4765.925379
237	1237.372072	4802.037313
238	1237.372072	4727.626545
239	1237.372072	4608.07507
240	1239.203867	4525.936293
241	1240.375313	4366.874313
242	1241.505718	4254.387329
243	1242.516886	4075.205557
244	1243.949585	3998.849014
245	1243.949585	3817.807356
246	1243.949585	3599.469252
247	1248.182554	3428.233487
248	1249.940345	3191.406625
249	1251.533072	3013.890236
250	1252.876314	2783.548897
251	1254.507337	2670.744995
252	1254.507337	2468.502949
253	1254.507337	2244.43061
254	1258.537765	2082.830076
255	1259.976298	1870.602604
256	1261.13648	1731.950269
257	1261.944232	1553.765085
258	1262.948613	1505.190903
259	1262.948613	1377.819898
260	1262.948613	1237.650472
261	1262.948613	1167.237773
262	1265.267064	1051.640455
263	1265.548751	1013.165228
264	1265.469173	936.7988019
265	1265.590045	989.8115014
266	1265.590045	961.9933661
267	1265.590045	917.6486365
268	1264.808774	937.7790608
269	1264.626496	906.0589497
270	1264.192285	943.6030169
271	1263.450136	934.4162356
272	1262.964929	1045.009765
273	1262.964929	1064.6437
274	1262.964929	1057.322637
