data,bitebi,gold
2018.8.25,5007.390959,1222.679792
2018.8.26,5028.671618,1223.123439
2018.8.27,4953.714501,1223.387259
2018.8.28,4849.271785,1224.029121
2018.8.29,4798.923009,1224.029121
2018.8.30,4688.987385,1224.029121
2018.8.31,4643.22891,1224.029121
2018.9.1,4548.245097,1226.713679
2018.9.2,4573.024914,1227.500383
2018.9.3,4509.13808,1228.060463
2018.9.4,4422.682995,1228.934331
2018.9.5,4396.425045,1228.934331
2018.9.6,4315.729478,1228.934331
2018.9.7,4303.290994,1230.846358
2018.9.8,4244.550301,1231.618574
2018.9.9,4307.282487,1232.122562
2018.9.10,4281.818583,1232.27656
2018.9.11,4233.026734,1232.621268
2018.9.12,4242.48381,1232.621268
2018.9.13,4194.440737,1232.621268
2018.9.14,4210.582795,1232.258027
2018.9.15,4175.474227,1232.074657
2018.9.16,4256.171237,1231.54742
2018.9.17,4242.463987,1230.611842
2018.9.18,4198.873416,1229.827744
2018.9.19,4206.833209,1229.827744
2018.9.20,4150.659841,1229.827744
2018.9.21,4152.311758,1226.051974
2018.9.22,4096.827017,1224.794806
2018.9.23,4151.923574,1223.261417
2018.9.24,4108.223155,1221.407516
2018.9.25,4031.224977,1219.811584
2018.9.26,4003.460267,1219.811584
2018.9.27,3910.43122,1219.811584
2018.9.28,3875.336341,1214.39437
2018.9.29,3784.472387,1212.893536
2018.9.30,3806.798131,1211.280239
2018.10.1,3734.121919,1209.512605
2018.10.2,3633.04029,1208.168227
2018.10.3,3587.059659,1208.168227
2018.10.4,3482.505651,1208.168227
2018.10.5,3443.22289,1204.440013
2018.10.6,3355.956251,1203.779323
2018.10.7,3389.899422,1203.120819
2018.10.8,3336.873204,1202.404861
2018.10.9,3263.26119,1202.189529
2018.10.10,3252.134898,1202.189529
2018.10.11,3189.172942,1202.189529
2018.10.12,3197.37381,1202.100306
2018.10.13,3162.467756,1202.663213
2018.10.14,3252.483279,1203.197249
2018.10.15,3257.959685,1204.308375
2018.10.16,3243.917591,1205.849009
2018.10.17,3292.021472,1205.849009
2018.10.18,3286.53777,1205.849009
2018.10.19,3349.090014,1210.434464
2018.10.20,3364.100427,1212.313399
2018.10.21,3498.402161,1214.026385
2018.10.22,3541.482819,1215.487524
2018.10.23,3557.485002,1217.232701
2018.10.24,3627.394136,1217.232701
2018.10.25,3635.01633,1217.232701
2018.10.26,3701.74711,1221.570705
2018.10.27,3712.020109,1223.096443
2018.10.28,3832.919581,1224.334547
2018.10.29,3854.417391,1225.210101
2018.10.30,3841.360342,1226.271417
2018.10.31,3875.638487,1226.271417
2018.11.1,3842.137676,1226.271417
2018.11.2,3863.477932,1228.107267
2018.11.3,3825.427558,1228.697755
2018.11.4,3896.47788,1228.97469
2018.11.5,3868.04032,1228.877441
2018.11.6,3806.392861,1228.967885
2018.11.7,3794.807707,1228.967885
2018.11.8,3719.464611,1228.967885
2018.11.9,3704.152599,1228.023042
2018.11.10,3635.651092,1227.764519
2018.11.11,3683.276312,1227.244888
2018.11.12,3639.055508,1226.409457
2018.11.13,3569.656781,1225.824616
2018.11.14,3558.506801,1225.824616
2018.11.15,3491.701224,1225.824616
2018.11.16,3492.71064,1223.256678
2018.11.17,3447.77296,1222.594079
2018.11.18,3525.457805,1221.737847
2018.11.19,3516.864941,1220.631639
2018.11.20,3487.583806,1219.839753
2018.11.21,3519.845587,1219.839753
2018.11.22,3498.471596,1219.839753
2018.11.23,3545.619682,1217.009336
2018.11.24,3546.218342,1216.37111
2018.11.25,3667.572842,1215.591957
2018.11.26,3699.604109,1214.614197
2018.11.27,3706.846215,1214.001297
2018.11.28,3770.632681,1214.001297
2018.11.29,3775.074324,1214.001297
2018.11.30,3841.829389,1212.010809
2018.12.1,3855.554864,1211.756007
2018.12.2,3983.522695,1211.414295
2018.12.3,4015.861262,1210.929807
2018.12.4,4017.547766,1210.867938
2018.12.5,4070.581838,1210.867938
2018.12.6,4059.943366,1210.867938
2018.12.7,4108.335801,1210.894928
2018.12.8,4101.604578,1211.438398
2018.12.9,4208.315278,1211.958622
2018.12.10,4219.95299,1212.0197
2018.12.11,4202.869737,1212.564723
2018.12.12,4240.411626,1212.564723
2018.12.13,4218.83008,1212.564723
2018.12.14,4261.97987,1214.747305
2018.12.15,4256.69496,1216.103969
2018.12.16,4372.328141,1217.473165
2018.12.17,4400.91717,1218.789608
2018.12.18,4409.105382,1220.607207
2018.12.19,4480.249373,1220.607207
2018.12.20,4500.318863,1220.607207
2018.12.21,4592.59197,1226.598349
2018.12.22,4643.037176,1229.180415
2018.12.23,4819.867987,1231.731304
2018.12.24,4913.732764,1234.172532
2018.12.25,4989.667197,1237.045
2018.12.26,5129.241272,1237.045
2018.12.27,5216.504892,1237.045
2018.12.28,5372.734185,1245.659155
2018.12.29,5481.868457,1245.659155
2018.12.30,5710.122309,1245.659155
2018.12.31,5846.233794,1245.659155
2019.1.1,5953.474488,1254.827831
2019.1.2,6111.85165,1257.967727
2019.1.3,6204.105055,1257.967727
2019.1.4,6350.498987,1257.967727
2019.1.5,6434.297982,1266.545239
2019.1.6,6621.409588,1266.545239
2019.1.7,6700.654024,1266.545239
2019.1.8,6735.785794,1272.156429
2019.1.9,6807.696933,1274.45143
2019.1.10,6800.404208,1276.923795
2019.1.11,6835.820808,1276.923795
2019.1.12,6799.201443,1276.923795
2019.1.13,6858.74475,1282.899146
2019.1.14,6805.813767,1284.824816
2019.1.15,6706.90069,1286.408989
2019.1.16,6645.766961,1287.588665
2019.1.17,6509.362548,1288.924215
2019.1.18,6422.526687,1288.924215
2019.1.19,6273.360802,1288.924215
2019.1.20,6232.759364,1291.52383
2019.1.21,6094.561338,1292.388623
2019.1.22,5927.450262,1292.968695
2019.1.23,5817.03572,1293.214201
2019.1.24,5651.721706,1293.697283
2019.1.25,5557.365522,1293.697283
2019.1.26,5422.619125,1293.697283
2019.1.27,5418.439618,1294.322847
2019.1.28,5338.232171,1294.745933
2019.1.29,5249.75374,1294.998435
2019.1.30,5237.210405,1295.031011
2019.1.31,5187.153476,1295.414237
2019.2.1,5223.177455,1295.414237
2019.2.2,5231.310831,1295.414237
2019.2.3,5379.585233,1296.372988
2019.2.4,5458.244789,1297.09346
2019.2.5,5571.303626,1297.719998
2019.2.6,5759.97661,1298.191181
2019.2.7,5907.398353,1299.064341
2019.2.8,6133.819795,1299.064341
2019.2.9,6322.077217,1299.064341
2019.2.10,6637.23606,1301.655895
2019.2.11,6866.869526,1302.924233
2019.2.12,7073.096937,1304.074789
2019.2.13,7334.811317,1304.31132
2019.2.14,7533.698071,1304.896621
2019.2.15,7789.044792,1304.896621
2019.2.16,7983.230359,1304.896621
2019.2.17,8281.376412,1306.176528
2019.2.18,8471.621001,1306.821932
2019.2.19,8617.13958,1307.242526
2019.2.20,8798.343268,1307.356174
2019.2.21,8898.857083,1307.702186
2019.2.22,9040.279222,1307.702186
2019.2.23,9107.610924,1307.702186
2019.2.24,9268.841534,1307.561873
2019.2.25,9315.150316,1307.509658
2019.2.26,9312.852058,1307.131079
2019.2.27,9345.518328,1306.353579
2019.2.28,9299.879076,1305.728071
2019.3.1,9300.507623,1305.728071
2019.3.2,9235.180441,1305.728071
2019.3.3,9274.398118,1302.333994
2019.3.4,9211.53064,1301.139354
2019.3.5,9114.715404,1299.619961
2019.3.6,9068.940979,1297.722741
2019.3.7,8961.922141,1296.018423
2019.3.8,8918.769801,1296.018423
2019.3.9,8827.347477,1296.018423
2019.3.10,8857.800642,1289.829686
2019.3.11,8802.721718,1287.913162
2019.3.12,8729.078453,1285.805232
2019.3.13,8720.337751,1283.467618
2019.3.14,8662.389306,1281.483886
2019.3.15,8678.271224,1281.483886
2019.3.16,8653.587716,1281.483886
2019.3.17,8756.103481,1275.516163
2019.3.18,8775.975733,1274.044357
2019.3.19,8777.749795,1272.568502
2019.3.20,8842.548499,1271.046926
2019.3.21,8854.057998,1270.056764
2019.3.22,8933.310529,1270.056764
2019.3.23,8964.152734,1270.056764
2019.3.24,9112.882853,1268.02623
2019.3.25,9168.516699,1268.135544
2019.3.26,9194.80751,1268.343898
2019.3.27,9272.44941,1268.587687
2019.3.28,9285.066807,1269.420463
2019.3.29,9353.990338,1269.420463
2019.3.30,9363.708284,1269.420463
2019.3.31,9481.477371,1272.951888
2019.4.1,9497.553731,1274.859637
2019.4.2,9477.17021,1276.795678
2019.4.3,9502.691027,1278.671786
2019.4.4,9459.547569,1281.018297
2019.4.5,9484.721808,1281.018297
2019.4.6,9450.846288,1281.018297
2019.4.7,9527.049486,1288.177145
2019.4.8,9505.365753,1290.934609
2019.4.9,9452.659188,1293.520641
2019.4.10,9452.729633,1295.839968
2019.4.11,9392.205882,1298.419421
2019.4.12,9395.229423,1298.419421
2019.4.13,9348.820198,1298.419421
2019.4.14,9422.41068,1305.034705
2019.4.15,9408.01111,1307.221118
2019.4.16,9372.133866,1309.06177
2019.4.17,9397.909341,1310.478374
2019.4.18,9370.998126,1312.017405
2019.4.19,9414.302191,1312.017405
2019.4.20,9413.365766,1312.017405
2019.4.21,9535.951162,1314.913342
2019.4.22,9572.251199,1315.744092
2019.4.23,9586.864858,1316.214906
2019.4.24,9660.967117,1316.273903
2019.4.25,9678.276237,1316.273903
2019.4.26,9759.819691,1316.273903
2019.4.27,9789.387935,1316.273903
2019.4.28,9933.159821,1316.273903
2019.4.29,9979.960003,1315.789178
2019.4.30,9993.273748,1315.462716
2019.5.1,10053.44908,1314.8787
2019.5.2,10043.68872,1314.618982
2019.5.3,10084.83236,1314.618982
2019.5.4,10060.81817,1314.618982
2019.5.5,10138.30704,1313.6126
2019.5.6,10106.93019,1313.707764
2019.5.7,10031.28569,1313.744546
2019.5.8,9993.114563,1313.673323
2019.5.9,9877.259523,1314.062546
2019.5.10,9806.407889,1314.062546
2019.5.11,9666.508618,1314.062546
2019.5.12,9626.348274,1314.062546
2019.5.13,9477.747677,1316.76188
2019.5.14,9287.506312,1317.854334
2019.5.15,9139.526345,1318.856633
2019.5.16,8920.720759,1320.315299
2019.5.17,8755.70841,1320.315299
2019.5.18,8532.187062,1320.315299
2019.5.19,8420.470344,1324.87957
2019.5.20,8213.651261,1326.842235
2019.5.21,7979.520086,1328.689528
2019.5.22,7802.669027,1330.337005
2019.5.23,7570.388556,1332.320953
2019.5.24,7407.358336,1332.320953
2019.5.25,7201.023768,1332.320953
2019.5.26,7121.143843,1337.679483
2019.5.27,6959.972509,1339.639182
2019.5.28,6784.200755,1341.35263
2019.5.29,6677.091081,1342.740834
2019.5.30,6524.408324,1344.34769
2019.5.31,6449.148823,1344.34769
2019.6.1,6336.957882,1344.34769
2019.6.2,6355.720124,1344.34769
2019.6.3,6295.783853,1349.191527
2019.6.4,6221.945543,1350.108493
2019.6.5,6215.625076,1350.656857
2019.6.6,6160.83479,1351.394643
2019.6.7,6178.943412,1351.394643
2019.6.8,6154.124139,1351.394643
2019.6.9,6252.970844,1352.369054
2019.6.10,6264.743071,1352.733503
2019.6.11,6253.365658,1353.852124
2019.6.12,6299.613452,1354.641103
2019.6.13,6287.084201,1355.665339
2019.6.14,6336.960867,1355.665339
2019.6.15,6333.452918,1355.665339
2019.6.16,6443.401008,1357.820439
2019.6.17,6456.506244,1358.69389
2019.6.18,6437.310492,1359.352828
2019.6.19,6467.35889,1359.739794
2019.6.20,6431.148353,1360.417861
2019.6.21,6450.864096,1360.417861
2019.6.22,6411.794435,1360.417861
2019.6.23,6481.909048,1361.843502
2019.6.24,6452.062508,1362.567057
2019.6.25,6387.9502,1363.118019
2019.6.26,6372.248291,1363.436587
2019.6.27,6290.541986,1364.084025
2019.6.28,6266.044441,1364.084025
2019.6.29,6184.996837,1364.084025
2019.6.30,6216.234893,1365.636308
2019.7.1,6151.383713,1366.47588
2019.7.2,6056.807954,1367.182045
2019.7.3,6015.748856,1367.697326
2019.7.4,5914.252122,1368.585801
2019.7.5,5875.888708,1368.585801
2019.7.6,5787.158671,1368.585801
2019.7.7,5817.062984,1371.159153
2019.7.8,5757.304787,1372.449034
2019.7.9,5674.246661,1373.665042
2019.7.10,5651.055091,1374.751528
2019.7.11,5573.635729,1376.27349
2019.7.12,5565.361212,1376.27349
2019.7.13,5512.481416,1376.27349
2019.7.14,5583.700871,1381.112884
2019.7.15,5570.384652,1383.270466
2019.7.16,5538.519308,1385.401861
2019.7.17,5570.859973,1387.443996
2019.7.18,5552.867382,1389.952923
2019.7.19,5607.436658,1389.952923
2019.7.20,5620.307992,1389.952923
2019.7.21,5759.644129,1397.830926
2019.7.22,5816.23628,1400.984798
2019.7.23,5855.465309,1404.080848
2019.7.24,5959.449603,1407.041302
2019.7.25,6012.983659,1410.407481
2019.7.26,6138.269489,1410.407481
2019.7.27,6220.331184,1410.407481
2019.7.28,6426.597706,1420.350171
2019.7.29,6547.115655,1423.980954
2019.7.30,6608.714128,1427.430557
2019.7.31,6730.576716,1430.613287
2019.8.1,6796.77725,1434.064705
2019.8.2,6928.828516,1434.064705
2019.8.3,7011.110328,1434.064705
2019.8.4,7210.466492,1443.419547
2019.8.5,7316.431964,1446.578928
2019.8.6,7393.21666,1449.342651
2019.8.7,7521.876845,1451.720622
2019.8.8,7586.277517,1454.260194
2019.8.9,7707.847247,1454.260194
2019.8.10,7771.015076,1454.260194
2019.8.11,7942.813806,1460.385069
2019.8.12,8013.11066,1462.360258
2019.8.13,8046.591434,1464.003482
2019.8.14,8124.928866,1465.258024
2019.8.15,8132.738496,1466.690654
2019.8.16,8192.323439,1466.690654
2019.8.17,8189.097762,1466.690654
2019.8.18,8291.172971,1469.776747
2019.8.19,8289.568877,1470.887434
2019.8.20,8250.17535,1471.7629
2019.8.21,8255.896178,1472.356451
2019.8.22,8192.578864,1473.242169
2019.8.23,8183.732434,1473.242169
2019.8.24,8115.923617,1473.242169
2019.8.25,8158.33663,1475.401356
2019.8.26,8102.958582,1476.435741
2019.8.27,8016.517708,1477.341195
2019.8.28,7982.606351,1478.06083
2019.8.29,7887.59317,1479.156077
2019.8.30,7855.327191,1479.156077
2019.8.31,7772.524552,1479.156077
2019.9.1,7808.323532,1479.156077
2019.9.2,7754.470107,1483.701826
2019.9.3,7677.26137,1484.982624
2019.9.4,7659.678688,1486.054146
2019.9.5,7587.314898,1487.45904
2019.9.6,7583.097861,1487.45904
2019.9.7,7532.700764,1487.45904
2019.9.8,7604.124194,1491.096349
2019.9.9,7587.911548,1492.489802
2019.9.10,7549.124339,1493.637651
2019.9.11,7569.508435,1494.456969
2019.9.12,7533.454629,1495.486721
2019.9.13,7562.754954,1495.486721
2019.9.14,7542.044199,1495.486721
2019.9.15,7638.410793,1497.271874
2019.9.16,7641.637762,1497.825189
2019.9.17,7616.199584,1498.03881
2019.9.18,7643.445321,1497.844271
2019.9.19,7607.570908,1497.797308
2019.9.20,7630.381616,1497.797308
2019.9.21,7596.733925,1497.797308
2019.9.22,7674.140887,1496.169235
2019.9.23,7653.001789,1495.594141
2019.9.24,7598.5822,1494.72034
2019.9.25,7593.175197,1493.500797
2019.9.26,7522.047227,1492.511737
2019.9.27,7487.073131,1492.511737
2019.9.28,7395.436339,1492.511737
2019.9.29,7415.907352,1488.736022
2019.9.30,7340.134177,1487.720904
2019.10.1,7234.585907,1486.56326
2019.10.2,7182.67845,1485.131096
2019.10.3,7070.686893,1484.095294
2019.10.4,7022.447201,1484.095294
2019.10.5,6924.738208,1484.095294
2019.10.6,6946.829681,1481.157651
2019.10.7,6880.658947,1480.726259
2019.10.8,6792.763698,1480.286144
2019.10.9,6766.403172,1479.781699
2019.10.10,6687.472372,1479.775122
2019.10.11,6679.212017,1479.775122
2019.10.12,6627.604997,1479.775122
2019.10.13,6700.944765,1480.336287
2019.10.14,6690.037585,1481.136851
2019.10.15,6660.165587,1481.924747
2019.10.16,6693.241979,1482.622589
2019.10.17,6673.762127,1483.771613
2019.10.18,6723.55217,1483.771613
2019.10.19,6727.204832,1483.771613
2019.10.20,6851.68675,1487.330449
2019.10.21,6886.5781,1488.920128
2019.10.22,6896.070413,1490.370837
2019.10.23,6961.152891,1491.596234
2019.10.24,6965.59003,1493.131302
2019.10.25,7030.691431,1493.131302
2019.10.26,7040.76281,1493.131302
2019.10.27,7162.722063,1496.977651
2019.10.28,7186.340896,1498.379
2019.10.29,7176.237794,1499.508451
2019.10.30,7214.052766,1500.28842
2019.10.31,7184.406987,1501.264465
2019.11.1,7209.648683,1501.264465
2019.11.2,7175.274971,1501.264465
2019.11.3,7249.514309,1502.878805
2019.11.4,7223.531052,1503.398072
2019.11.5,7163.378934,1503.601046
2019.11.6,7152.135078,1503.424963
2019.11.7,7075.818822,1503.42981
2019.11.8,7058.097911,1503.42981
2019.11.9,6985.672943,1503.42981
2019.11.10,7027.825822,1502.17267
2019.11.11,6976.594719,1501.787929
2019.11.12,6898.70328,1501.129879
2019.11.13,6877.676371,1500.143506
2019.11.14,6799.747261,1499.395097
2019.11.15,6788.559121,1499.395097
2019.11.16,6730.551914,1499.395097
2019.11.17,6794.52037,1496.262241
2019.11.18,6771.805298,1495.387734
2019.11.19,6728.245493,1494.30855
2019.11.20,6746.321902,1492.96884
2019.11.21,6711.098076,1491.933381
2019.11.22,6744.958844,1491.933381
2019.11.23,6733.037141,1491.933381
2019.11.24,6842.813519,1488.315758
2019.11.25,6864.349301,1487.397202
2019.11.26,6862.27939,1486.328954
2019.11.27,6917.995123,1485.053985
2019.11.28,6915.619994,1484.134924
2019.11.29,6976.779081,1484.134924
2019.11.30,6986.051114,1484.134924
2019.12.1,7110.586879,1481.169502
2019.12.2,7140.354293,1480.569704
2019.12.3,7140.135693,1479.872327
2019.12.4,7191.707524,1479.021132
2019.12.5,7179.805244,1478.581206
2019.12.6,7226.87452,1478.581206
2019.12.7,7218.498116,1478.581206
2019.12.8,7322.982837,1477.404359
2019.12.9,7331.56775,1477.523533
2019.12.10,7310.380256,1477.608503
2019.12.11,7342.571417,1477.603358
2019.12.12,7314.234637,1478.072714
2019.12.13,7349.110175,1478.072714
2019.12.14,7333.966291,1478.072714
2019.12.15,7438.142808,1479.983805
2019.12.16,7453.719674,1481.240326
2019.12.17,7447.438377,1482.507664
2019.12.18,7502.808753,1483.722665
2019.12.19,7506.006297,1485.441503
2019.12.20,7580.563214,1485.441503
2019.12.21,7612.744623,1485.441503
2019.12.22,7771.096008,1491.176382
2019.12.23,7846.624594,1493.694475
2019.12.24,7904.742324,1496.196079
2019.12.25,8027.402543,1498.604939
2019.12.26,8099.034821,1501.464022
2019.12.27,8241.280248,1501.464022
2019.12.28,8338.417469,1501.464022
2019.12.29,8556.964277,1510.169255
2019.12.30,8685.915958,1513.487295
2019.12.31,8788.746543,1513.487295
2020.1.1,8945.603419,1513.487295
2020.1.2,9039.298098,1513.487295
2020.1.3,9190.093868,1522.945809
2020.1.4,9281.179032,1522.945809
2020.1.5,9478.309131,1522.945809
2020.1.6,9570.078086,1532.138857
2020.1.7,9619.943304,1535.339269
2020.1.8,9708.434391,1535.339269
2020.1.9,9719.147659,1535.339269
2020.1.10,9773.526823,1540.855981
2020.1.11,9756.31859,1543.632938
2020.1.12,9835.186775,1543.632938
2020.1.13,9800.945443,1543.632938
2020.1.14,9719.536939,1550.588691
2020.1.15,9674.185545,1552.85368
2020.1.16,9551.330259,1554.778401
2020.1.17,9475.338612,1556.296834
2020.1.18,9333.891899,1557.966399
2020.1.19,9297.527246,1557.966399
2020.1.20,9159.798871,1557.966399
2020.1.21,8989.18629,1561.51215
2020.1.22,8871.182031,1562.665538
2020.1.23,8694.164136,1563.517383
2020.1.24,8584.056991,1564.016239
2020.1.25,8429.672323,1564.732991
2020.1.26,8402.217036,1564.732991
2020.1.27,8295.431227,1564.732991
2020.1.28,8177.484858,1565.934425
2020.1.29,8133.066062,1566.507297
2020.1.30,8049.26646,1566.889223
2020.1.31,8050.266816,1567.031847
2020.2.1,8022.71434,1567.739011
2020.2.2,8135.277472,1567.739011
2020.2.3,8178.840382,1567.739011
2020.2.4,8218.464291,1569.579264
2020.2.5,8335.546988,1570.570771
2020.2.6,8413.784187,1571.461127
2020.2.7,8573.934121,1572.191641
2020.2.8,8699.274724,1573.322469
2020.2.9,8955.237218,1573.322469
2020.2.10,9129.676348,1573.322469
2020.2.11,9284.902463,1576.705507
2020.2.12,9499.905042,1578.253068
2020.2.13,9656.369659,1579.69486
2020.2.14,9873.48843,1580.956779
2020.2.15,10033.45212,1582.583864
2020.2.16,10301.10685,1582.583864
2020.2.17,10464.23513,1582.583864
2020.2.18,10585.58616,1587.103725
2020.2.19,10745.08501,1588.871002
2020.2.20,10825.82324,1590.435314
2020.2.21,10948.83155,1591.714462
2020.2.22,10998.52381,1593.247275
2020.2.23,11142.29654,1593.247275
2020.2.24,11170.74518,1593.247275
2020.2.25,11149.6237,1596.784184
2020.2.26,11161.97918,1597.990993
2020.2.27,11094.06558,1598.884324
2020.2.28,11070.03952,1599.388872
2020.2.29,10977.32919,1600.052519
2020.3.1,10986.16258,1600.052519
2020.3.2,10889.71801,1600.052519
2020.3.3,10756.02513,1600.535047
2020.3.4,10670.04959,1600.623779
2020.3.5,10519.56667,1600.377254
2020.3.6,10429.82773,1599.738779
2020.3.7,10288.91113,1599.275582
2020.3.8,10267.24422,1599.275582
2020.3.9,10157.75931,1599.275582
2020.3.10,10027.81167,1596.672422
2020.3.11,9961.291919,1595.895909
2020.3.12,9844.537436,1594.89668
2020.3.13,9801.045378,1593.634873
2020.3.14,9716.877682,1592.692962
2020.3.15,9760.243038,1592.692962
2020.3.16,9721.717111,1592.692962
2020.3.17,9666.227247,1589.643782
2020.3.18,9675.232197,1589.077621
2020.3.19,9632.699693,1588.476095
2020.3.20,9706.174998,1587.799723
2020.3.21,9733.367378,1587.628344
2020.3.22,9880.661539,1587.628344
2020.3.23,9937.090364,1587.628344
2020.3.24,9966.355869,1587.929604
2020.3.25,10049.03567,1588.78793
2020.3.26,10068.5772,1589.738552
2020.3.27,10146.08011,1590.722601
2020.3.28,10165.75558,1592.29845
2020.3.29,10294.54628,1592.29845
2020.3.30,10322.36733,1592.29845
2020.3.31,10314.0943,1598.123784
2020.4.1,10351.72897,1600.832938
2020.4.2,10320.34609,1603.595713
2020.4.3,10342.82331,1606.327489
2020.4.4,10305.24428,1609.561738
2020.4.5,10376.46033,1609.561738
2020.4.6,10348.27296,1609.561738
2020.4.7,10287.36453,1619.599276
2020.4.8,10277.40955,1623.392741
2020.4.9,10204.97159,1627.053659
2020.4.10,10194.18885,1630.486154
2020.4.11,10132.14009,1634.215783
2020.4.12,10188.377,1634.215783
2020.4.13,10155.08604,1634.215783
2020.4.14,10099.00783,1644.481504
2020.4.15,10103.54649,1647.941145
2020.4.16,10054.67414,1651.076904
2020.4.17,10075.63321,1653.80612
2020.4.18,10052.32776,1653.80612
2020.4.19,10152.88915,1653.80612
2020.4.20,10167.87807,1653.80612
2020.4.21,10162.24982,1653.80612
2020.4.22,10217.51418,1665.730399
2020.4.23,10217.69319,1667.51819
2020.4.24,10284.07852,1668.878623
2020.4.25,10300.67771,1670.380006
2020.4.26,10433.83336,1670.380006
2020.4.27,10472.4757,1670.380006
2020.4.28,10480.13414,1673.480006
2020.4.29,10537.13782,1674.546173
2020.4.30,10526.60749,1675.362291
2020.5.1,10569.23958,1675.888767
2020.5.2,10548.77085,1676.707543
2020.5.3,10631.60748,1676.707543
2020.5.4,10607.07877,1676.707543
2020.5.5,10539.44093,1678.754979
2020.5.6,10510.0615,1679.813884
2020.5.7,10403.38704,1680.79177
2020.5.8,10341.69567,1681.642332
2020.5.9,10210.52388,1682.937664
2020.5.10,10178.25224,1682.937664
2020.5.11,10036.31167,1682.937664
2020.5.12,9851.136912,1687.189868
2020.5.13,9706.298832,1689.184139
2020.5.14,9488.420043,1691.164377
2020.5.15,9321.876274,1693.062694
2020.5.16,9094.174506,1693.062694
2020.5.17,9022.533694,1693.062694
2020.5.18,8852.930606,1693.062694
2020.5.19,8653.138626,1702.817711
2020.5.20,8507.791871,1705.763414
2020.5.21,8304.279588,1708.617358
2020.5.22,8167.433817,1711.296032
2020.5.23,7984.901486,1714.336148
2020.5.24,7926.686735,1714.336148
2020.5.25,7785.325856,1714.336148
2020.5.26,7627.822247,1723.00987
2020.5.27,7537.773212,1726.120233
2020.5.28,7401.292825,1729.428517
2020.5.29,7341.73302,1732.429653
2020.5.30,7245.093072,1735.665228
2020.5.31,7279.602277,1735.665228
2020.6.1,7235.937097,1735.665228
