ds,yhat
2017.3.5,1217.382557
2017.3.6,1211.857784
2017.3.7,1209.860086
2017.3.8,1207.738536
2017.3.9,1205.456126
2017.3.10,1203.596613
2017.3.11,1203.596613
2017.3.12,1203.596613
2017.3.13,1198.400809
2017.3.14,1197.308908
2017.3.15,1196.26634
2017.3.16,1195.225196
2017.3.17,1194.755494
2017.3.18,1194.755494
2017.3.19,1194.755494
2017.3.20,1194.444582
2017.3.21,1195.14987
2017.3.22,1195.949773
2017.3.23,1196.771056
2017.3.24,1198.157774
2017.3.25,1198.157774
2017.3.26,1198.157774
2017.3.27,1203.120333
2017.3.28,1205.401444
2017.3.29,1207.647639
2017.3.30,1209.765373
2017.3.31,1212.280812
2017.4.1,1212.280812
2017.4.2,1212.280812
2017.4.3,1219.487455
2017.4.4,1222.10686
2017.4.5,1224.480677
2017.4.6,1226.517295
2017.4.7,1228.748426
2017.4.8,1228.748426
2017.4.9,1228.748426
2017.4.10,1233.990122
2017.4.11,1235.635346
2017.4.12,1236.907987
2017.4.13,1237.739345
2017.4.14,1237.739345
2017.4.15,1237.739345
2017.4.16,1237.739345
2017.4.17,1237.739345
2017.4.18,1240.159156
2017.4.19,1240.14057
2017.4.20,1239.755178
2017.4.21,1239.581378
2017.4.22,1239.581378
2017.4.23,1239.581378
2017.4.24,1238.156436
2017.4.25,1237.897822
2017.4.26,1237.484525
2017.4.27,1236.87622
2017.4.28,1236.652237
2017.4.29,1236.652237
2017.4.30,1236.652237
2017.5.1,1236.652237
2017.5.2,1236.395236
2017.5.3,1236.693141
2017.5.4,1236.907554
2017.5.5,1237.372072
2017.5.6,1237.372072
2017.5.7,1237.372072
2017.5.8,1239.203867
2017.5.9,1240.375313
2017.5.10,1241.505718
2017.5.11,1242.516886
2017.5.12,1243.949585
2017.5.13,1243.949585
2017.5.14,1243.949585
2017.5.15,1248.182554
2017.5.16,1249.940345
2017.5.17,1251.533072
2017.5.18,1252.876314
2017.5.19,1254.507337
2017.5.20,1254.507337
2017.5.21,1254.507337
2017.5.22,1258.537765
2017.5.23,1259.976298
2017.5.24,1261.13648
2017.5.25,1261.944232
2017.5.26,1262.948613
2017.5.27,1262.948613
2017.5.28,1262.948613
2017.5.29,1262.948613
2017.5.30,1265.267064
2017.5.31,1265.548751
2017.6.1,1265.469173
2017.6.2,1265.590045
2017.6.3,1265.590045
2017.6.4,1265.590045
2017.6.5,1264.808774
2017.6.6,1264.626496
2017.6.7,1264.192285
2017.6.8,1263.450136
2017.6.9,1262.964929
2017.6.10,1262.964929
2017.6.11,1262.964929
2017.6.12,1260.716243
2017.6.13,1260.160145
2017.6.14,1259.406805
2017.6.15,1258.397567
2017.6.16,1257.694385
2017.6.17,1257.694385
2017.6.18,1257.694385
2017.6.19,1255.057297
2017.6.20,1254.451873
2017.6.21,1253.686307
2017.6.22,1252.701125
2017.6.23,1252.058194
2017.6.24,1252.058194
2017.6.25,1252.058194
2017.6.26,1249.829206
2017.6.27,1249.442282
2017.6.28,1248.941079
2017.6.29,1248.269371
2017.6.30,1247.992326
2017.7.1,1247.992326
2017.7.2,1247.992326
2017.7.3,1247.204936
2017.7.4,1247.686499
2017.7.5,1248.116129
2017.7.6,1248.436821
2017.7.7,1249.211633
2017.7.8,1249.211633
2017.7.9,1249.211633
2017.7.10,1251.893297
2017.7.11,1253.347377
2017.7.12,1254.775822
2017.7.13,1256.110567
2017.7.14,1257.902399
2017.7.15,1257.902399
2017.7.16,1257.902399
2017.7.17,1263.516385
2017.7.18,1265.860081
2017.7.19,1268.109803
2017.7.20,1270.183343
2017.7.21,1272.618161
2017.7.22,1272.618161
2017.7.23,1272.618161
2017.7.24,1279.47228
2017.7.25,1281.97031
2017.7.26,1284.235325
2017.7.27,1286.182957
2017.7.28,1288.351071
2017.7.29,1288.351071
2017.7.30,1288.351071
2017.7.31,1293.603624
2017.8.1,1295.327891
2017.8.2,1296.718764
2017.8.3,1297.706757
2017.8.4,1298.846305
2017.8.5,1298.846305
2017.8.6,1298.846305
2017.8.7,1300.783178
2017.8.8,1301.389857
2017.8.9,1301.689152
2017.8.10,1301.629986
2017.8.11,1301.783994
2017.8.12,1301.783994
2017.8.13,1301.783994
2017.8.14,1301.279523
2017.8.15,1301.281513
2017.8.16,1301.092786
2017.8.17,1300.665214
2017.8.18,1300.570354
2017.8.19,1300.570354
2017.8.20,1300.570354
2017.8.21,1299.990876
2017.8.22,1300.162396
2017.8.23,1300.21949
2017.8.24,1300.098279
2017.8.25,1300.352992
2017.8.26,1300.352992
2017.8.27,1300.352992
2017.8.28,1300.352992
2017.8.29,1301.398247
2017.8.30,1302.291226
2017.8.31,1302.937513
2017.9.1,1303.875908
2017.9.2,1303.875908
2017.9.3,1303.875908
2017.9.4,1305.843729
2017.9.5,1306.58901
2017.9.6,1307.044984
2017.9.7,1307.131764
2017.9.8,1307.392447
2017.9.9,1307.392447
2017.9.10,1307.392447
2017.9.11,1306.706951
2017.9.12,1306.40472
2017.9.13,1305.759457
2017.9.14,1304.710783
2017.9.15,1303.822588
2017.9.16,1303.822588
2017.9.17,1303.822588
2017.9.18,1299.826905
2017.9.19,1298.538639
2017.9.20,1296.999995
2017.9.21,1295.168805
2017.9.22,1293.625122
2017.9.23,1293.625122
2017.9.24,1293.625122
2017.9.25,1288.54865
2017.9.26,1287.221922
2017.9.27,1285.811079
2017.9.28,1284.272241
2017.9.29,1283.180489
2017.9.30,1283.180489
2017.10.1,1283.180489
2017.10.2,1280.321542
2017.10.3,1279.975568
2017.10.4,1279.637633
2017.10.5,1279.243969
2017.10.6,1279.348552
2017.10.7,1279.348552
2017.10.8,1279.348552
2017.10.9,1280.1658
2017.10.10,1281.001324
2017.10.11,1281.788154
2017.10.12,1282.443546
2017.10.13,1283.504267
2017.10.14,1283.504267
2017.10.15,1283.504267
2017.10.16,1286.492993
2017.10.17,1287.785926
2017.10.18,1288.886559
2017.10.19,1289.710005
2017.10.20,1290.793577
2017.10.21,1290.793577
2017.10.22,1290.793577
2017.10.23,1293.022755
2017.10.24,1293.812039
2017.10.25,1294.301304
2017.10.26,1294.4184
2017.10.27,1294.714417
2017.10.28,1294.714417
2017.10.29,1294.714417
2017.10.30,1294.24007
2017.10.31,1294.063962
2017.11.1,1293.579669
2017.11.2,1292.728387
2017.11.3,1292.073555
2017.11.4,1292.073555
2017.11.5,1292.073555
2017.11.6,1288.956953
2017.11.7,1287.998374
2017.11.8,1286.791254
2017.11.9,1285.280956
2017.11.10,1284.033746
2017.11.11,1284.033746
2017.11.12,1284.033746
2017.11.13,1279.550526
2017.11.14,1278.271977
