date,open,high,low,close,volume,openinterest
2018-11-09,"6,473.80","6,496.10","6,390.00","6,412.00",6473800,0
2018-11-10,"6,411.90","6,461.70","6,411.70","6,427.10",6411900,0
2018-11-11,"6,427.10","6,451.70","6,359.00","6,446.10",6427100,0
2018-11-12,"6,445.00","6,475.90","6,409.40","6,435.00",6445000,0
2018-11-13,"6,435.00","6,466.80","6,386.70","6,429.20",6435000,0
2018-11-14,"6,428.90","6,453.30","5,619.20","5,842.40",6428900,0
2018-11-15,"5,854.00","5,878.50","5,384.10","5,718.90",5854000,0
2018-11-16,"5,723.50","5,747.70","5,539.70","5,636.20",5723500,0
2018-11-17,"5,636.20","5,645.50","5,561.40","5,621.80",5636200,0
2018-11-18,"5,621.00","5,727.90","5,615.50","5,658.30",5621000,0
2018-11-19,"5,660.40","5,662.50","4,831.10","4,883.80",5660400,0
2018-11-20,"4,883.60","5,013.40","4,272.30","4,524.60",4883600,0
2018-11-21,"4,523.00","4,743.70","4,393.00","4,638.70",4523000,0
2018-11-22,"4,646.40","4,695.70","4,346.70","4,356.00",4646400,0
2018-11-23,"4,360.90","4,455.60","4,223.70","4,398.00",4360900,0
2018-11-24,"4,397.30","4,494.60","3,821.50","3,920.40",4397300,0
2018-11-25,"3,920.30","4,198.40","3,634.20","4,062.20",3920300,0
2018-11-26,"4,061.00","4,179.00","3,679.80","3,837.00",4061000,0
2018-11-27,"3,840.30","3,920.60","3,687.80","3,866.50",3840300,0
2018-11-28,"3,866.40","4,391.80","3,866.40","4,265.40",3866400,0
2018-11-29,"4,265.50","4,440.10","4,140.60","4,296.50",4265500,0
2018-11-30,"4,296.80","4,340.60","3,954.50","4,039.70",4296800,0
2018-12-01,"4,038.70","4,299.10","3,967.10","4,196.20",4038700,0
2018-12-02,"4,196.20","4,316.10","4,105.30","4,160.40",4196200,0
2018-12-03,"4,160.30","4,177.00","3,839.90","3,897.80",4160300,0
2018-12-04,"3,899.90","4,082.90","3,809.30","3,958.50",3899900,0
2018-12-05,"3,958.10","3,974.10","3,765.20","3,771.60",3958100,0
2018-12-06,"3,771.40","3,887.20","3,505.70","3,508.60",3771400,0
2018-12-07,"3,508.90","3,626.60","3,251.80","3,422.20",3508900,0
2018-12-08,"3,422.30","3,507.70","3,302.90","3,430.40",3422300,0
2018-12-09,"3,430.30","3,677.60","3,424.20","3,567.50",3430300,0
2018-12-10,"3,566.90","3,622.40","3,412.70","3,460.50",3566900,0
2018-12-11,"3,460.40","3,485.90","3,349.90","3,407.70",3460400,0
2018-12-12,"3,390.20","3,510.20","3,379.40","3,466.10",3390200,0
2018-12-13,"3,466.20","3,474.40","3,284.80","3,315.30",3466200,0
2018-12-14,"3,315.40","3,336.60","3,199.10","3,247.80",3315400,0
2018-12-15,"3,247.80","3,282.30","3,177.00","3,228.70",3247800,0
2018-12-16,"3,228.60","3,305.00","3,225.90","3,247.90",3228600,0
2018-12-17,"3,248.30","3,597.40","3,243.10","3,526.10",3248300,0
2018-12-18,"3,526.00","3,683.10","3,456.90","3,668.00",3526000,0
2018-12-19,"3,668.10","3,924.70","3,647.50","3,687.10",3668100,0
2018-12-20,"3,687.20","4,140.30","3,665.80","4,076.00",3687200,0
2018-12-21,"4,075.20","4,153.10","3,786.90","3,850.90",4075200,0
2018-12-22,"3,850.90","3,977.20","3,803.70","3,964.40",3850900,0
2018-12-23,"3,964.30","4,037.10","3,904.60","3,944.40",3964300,0
2018-12-24,"3,944.50","4,208.20","3,941.90","4,026.10",3944500,0
2018-12-25,"4,025.60","4,030.70","3,676.50","3,762.50",4025600,0
2018-12-26,"3,762.80","3,841.90","3,680.30","3,793.70",3762800,0
2018-12-27,"3,793.40","3,822.60","3,560.80","3,586.90",3793400,0
2018-12-28,"3,587.10","3,900.30","3,565.50","3,861.60",3587100,0
2018-12-29,"3,861.60","3,899.60","3,696.00","3,706.80",3861600,0
2018-12-30,"3,708.20","3,837.70","3,682.50","3,815.00",3708200,0
2018-12-31,"3,815.10","3,819.60","3,658.80","3,709.40",3815100,0
2019-01-01,"3,709.50","3,814.30","3,664.40","3,809.40",3709500,0
2019-01-02,"3,809.70","3,894.80","3,768.10","3,873.80",3809700,0
2019-01-03,"3,874.10","3,875.80","3,753.00","3,780.10",3874100,0
2019-01-04,"3,780.50","3,823.90","3,720.00","3,802.70",3780500,0
2019-01-05,"3,802.80","3,846.70","3,769.00","3,785.40",3802800,0
2019-01-06,"3,785.70","4,034.10","3,758.50","4,004.10",3785700,0
2019-01-07,"4,004.30","4,028.00","3,945.50","3,985.90",4004300,0
2019-01-08,"3,985.80","4,070.50","3,943.10","3,971.00",3985800,0
2019-01-09,"3,971.00","4,014.20","3,957.50","3,978.00",3971000,0
2019-01-10,"3,978.90","4,007.70","3,562.10","3,603.70",3978900,0
2019-01-11,"3,603.30","3,655.70","3,563.10","3,616.50",3603300,0
2019-01-12,"3,616.60","3,633.90","3,561.30","3,597.20",3616600,0
2019-01-13,"3,597.30","3,617.60","3,473.20","3,490.20",3597300,0
2019-01-14,"3,490.40","3,672.00","3,490.40","3,638.10",3490400,0
2019-01-15,"3,637.50","3,660.80","3,545.70","3,571.30",3637500,0
2019-01-16,"3,570.60","3,644.10","3,561.40","3,588.00",3570600,0
2019-01-17,"3,588.10","3,636.70","3,554.80","3,626.40",3588100,0
2019-01-18,"3,626.30","3,627.90","3,575.70","3,605.60",3626300,0
2019-01-19,"3,605.80","3,715.20","3,604.10","3,677.80",3605800,0
2019-01-20,"3,676.20","3,699.10","3,503.90","3,542.30",3676200,0
2019-01-21,"3,542.70","3,561.40","3,505.40","3,536.70",3542700,0
2019-01-22,"3,536.90","3,607.90","3,465.20","3,580.10",3536900,0
2019-01-23,"3,580.10","3,608.30","3,532.80","3,561.50",3580100,0
2019-01-24,"3,561.40","3,587.00","3,539.70","3,574.30",3561400,0
2019-01-25,"3,574.30","3,582.60","3,542.20","3,572.00",3574300,0
2019-01-26,"3,572.00","3,652.50","3,556.10","3,570.90",3572000,0
2019-01-27,"3,570.90","3,583.20","3,509.20","3,555.60",3570900,0
2019-01-28,"3,555.80","3,561.20","3,395.70","3,442.80",3555800,0
